n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,resampled,tuning_budget,n_features,seed,condition
367,0.04632152588555858,0.17594727751067252,0.46117647058823524,3.7983912262598127,0.04599303881521756,0.045952660555313704,0.008110553421822137,0.0084985835694051,0.9543417859677381,3,14,0.008771615125206286,0.010050251256281407,0.8727757049580255,199,2,0.5422343324250681,0.21581568999066114,0.11764705882352941,0.5,0.01,4,3,0.0,,,,0,60,90,639,367,0.057902973395931145,0.04632152588555858,0,0,lightgbm,False,0,221,0,rung2_full
367,0.04632152588555858,0.05906080903549801,0.42756302521008405,1.2750186421192806,0.04966129078070753,0.04858451262481641,0.01074023342064579,0.0084985835694051,1.2637674658293212,3,14,0.024127350710041996,0.03211009174311927,0.7513946363984507,218,7,0.5940054495912807,0.10008859319625586,0.058823529411764705,0.25,0.01,4,3,0.0,,,,0,60,90,452,367,0.059734513274336286,0.04632152588555858,0,0,lightgbm,False,0,221,0,rung2_size_matched
367,0.04632152588555858,0.03645432571127075,0.38386554621848734,0.7869845609433157,0.06313237496156514,0.09396695907157454,0.007862186123055687,0.0084985835694051,0.9251172338128858,3,14,0.03645432571127075,0.04632152588555858,0.7869845609433157,367,17,1.0,0.0,0.0,0.0,0.01,4,3,0.0,,,,0,60,90,452,367,0.05309734513274336,0.04632152588555858,187,0,lightgbm,False,0,221,0,rung3_entity_disjoint
448,0.011160714285714286,0.503416751315911,0.9476297968397291,45.10614091790563,0.009392773070828992,0.006001057018083855,,,,0,5,,0.0,,270,0,0.6026785714285714,0.20873787251486414,0.4,0.5,0.01,4,0,,,,,1,90,120,1006,448,0.0536779324055666,0.011160714285714286,0,0,lightgbm,False,0,221,0,rung2_full
448,0.011160714285714286,0.41886224205242617,0.9209932279909707,37.53005688789738,0.009637304696185515,0.015227120692302816,,,,0,5,,0.0,,284,0,0.6339285714285714,0.04699190710466602,0.2,0.25,0.01,4,0,,,,,1,90,120,836,448,0.050239234449760764,0.011160714285714286,0,0,lightgbm,False,0,221,0,rung2_size_matched
448,0.011160714285714286,0.00997010539571428,0.33047404063205416,0.8933214434559995,0.012411175992618036,0.008065489485429967,,,,0,5,0.00997010539571428,0.011160714285714286,0.8933214434559995,448,5,1.0,0.0,0.0,0.0,0.01,4,0,,,,,1,90,120,836,448,0.05263157894736842,0.011160714285714286,170,0,lightgbm,False,0,221,0,rung3_entity_disjoint
494,0.008097165991902834,0.010091635019655022,0.5255102040816326,1.2463169249273953,0.008094941710149848,0.004815552409494581,0.005411770932571187,0.0040650406504065045,1.3312956494125119,2,2,0.01732822025170577,0.014814814814814815,1.1696548669901394,270,4,0.5465587044534413,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,1454,494,0.0405777166437414,0.008097165991902834,0,0,lightgbm,False,0,221,0,rung2_full
494,0.008097165991902834,0.010622529703719921,0.5178571428571428,1.3118824184094102,0.00814274073034664,0.003921836166185505,0.008613767428279436,0.0040650406504065045,2.118986787356741,2,2,0.017006846895360597,0.013937282229965157,1.2202412647421228,287,4,0.5809716599190283,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,1209,494,0.0413564929693962,0.008097165991902834,0,0,lightgbm,False,0,221,0,rung2_size_matched
494,0.008097165991902834,0.007674651367191133,0.35969387755102045,0.9478194438481049,0.00816229279037525,0.0020272671189649743,0.004648628832700278,0.0040650406504065045,1.1435626928442681,2,2,0.007674651367191133,0.008097165991902834,0.9478194438481049,494,4,1.0,0.0,0.0,0.0,0.01,5,2,0.0,,,,2,120,150,1209,494,0.04880066170388751,0.008097165991902834,245,0,lightgbm,False,0,221,0,rung3_entity_disjoint
512,0.01953125,0.05164378107364786,0.754581673306773,2.6441615909707705,0.01933408788109734,0.0157657044718756,0.018783540398871684,0.005940594059405941,3.1618959671434,3,7,0.0741900715781223,0.034482758620689655,2.1515120757655466,290,10,0.56640625,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1948,512,0.03234086242299795,0.01953125,0,0,lightgbm,False,0,221,0,rung2_full
512,0.01953125,0.04659198234117817,0.7081673306772909,2.3855094958683223,0.019364982243568092,0.015691387637011254,0.014027554124172482,0.005940594059405941,2.3613049442357013,3,7,0.07174479534773652,0.03278688524590164,2.188216258105964,305,10,0.595703125,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1705,512,0.03167155425219941,0.01953125,0,0,lightgbm,False,0,221,0,rung2_size_matched
512,0.01953125,0.038509201364486864,0.6557768924302789,1.9716711098617274,0.019437044275417086,0.013584683305972435,0.01754208754208754,0.005940594059405941,2.9529180695847357,3,7,0.038509201364486864,0.01953125,1.9716711098617274,512,10,1.0,0.0,0.0,0.0,0.01,5,3,0.0,,,,3,150,180,1705,512,0.03695014662756598,0.01953125,243,0,lightgbm,False,0,221,0,rung3_entity_disjoint
