removal,fraction_removed,n_removed,auprc
shap,0.0,0,0.020243366898292293
random,0.0,0,0.020243366898292293
shap,0.1,22,0.010562048115760479
random,0.1,22,0.014660868349153072
shap,0.2,44,0.00849181612057374
random,0.2,44,0.016786382157272312
shap,0.4,88,0.00932049468254474
random,0.4,88,0.016790356877566182
