family,CEP,leaky,migration
association_risk,0.11793815077189988,0.1525066119066349,-0.03456846113473501
identity_proxy,0.2145402828522408,0.23363070214722176,-0.019090419294980954
M_columns,0.01132661614690904,0.02711685475050652,-0.015790238603597483
behaviour,0.10572236290358411,0.12001632175772028,-0.014293958854136174
id_columns,0.006285324773557756,0.012456058964604048,-0.006170734191046292
missingness,0.0036633021179583716,0.006523609948251717,-0.0028603078302933457
entity_memory,0.0,0.00172917314911614,-0.00172917314911614
velocity,0.007537058884444046,0.006983251162666812,0.0005538077217772342
D_columns,0.01917436227095256,0.015813895960723277,0.0033604663102292827
V_columns,0.4207854438577098,0.3877470264466581,0.03303841741105168
C_columns,0.09302709542074386,0.03547649380589641,0.05755060161484745
