ablation,n_mean,n_std,base_rate_mean,base_rate_std,auprc_mean,auprc_std,auroc_mean,auroc_std,auprc_lift_mean,auprc_lift_std,brier_mean,brier_std,ece_mean,ece_std,index_auprc_mean,index_auprc_std,index_base_rate_mean,index_base_rate_std,index_auprc_lift_mean,index_auprc_lift_std,n_index_positives_mean,n_index_positives_std,n_masked_propagated_mean,n_masked_propagated_std,cold_entity_auprc_mean,cold_entity_auprc_std,cold_base_rate_mean,cold_base_rate_std,cold_entity_auprc_lift_mean,cold_entity_auprc_lift_std,n_cold_rows_mean,n_cold_rows_std,cold_positive_count_mean,cold_positive_count_std,cold_row_share_mean,cold_row_share_std,dollar_recall_at_k_mean,dollar_recall_at_k_std,count_recall_at_k_mean,count_recall_at_k_std,alert_precision_at_k_mean,alert_precision_at_k_std,k_mean,k_std,n_reviewed_mean,n_reviewed_std,ttd_n_entities_mean,ttd_n_entities_std,ttd_detected_share_mean,ttd_detected_share_std,ttd_median_txn_mean,ttd_median_txn_std,ttd_median_hours_mean,ttd_median_hours_std,ttd_early_share_mean,ttd_early_share_std,fold_id_mean,fold_id_std,test_day_start_mean,test_day_start_std,test_day_end_mean,test_day_end_std,n_train_mean,n_train_std,n_test_mean,n_test_std,train_base_rate_mean,train_base_rate_std,test_base_rate_mean,test_base_rate_std,dropped_entity_rows_mean,dropped_entity_rows_std,label_maturity_dropped_mean,label_maturity_dropped_std,n_monotone_mean,n_monotone_std,n_features_mean,n_features_std,seed_mean,seed_std
behaviour_only,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.0453139760660733,0.043742400041807655,0.5626847364227858,0.18561674770505807,1.8639326753570913,1.0174448196754329,0.027340477493267235,0.017160387116650487,0.031983093996138454,0.0215275675159124,0.029416573925603942,0.024395527395898807,0.006168072759739181,0.002225507947184108,4.250305914819467,2.185902818704652,2.0,1.4142135623730951,7.0,5.0990195135927845,0.0453139760660733,0.043742400041807655,0.021277664040793925,0.01738124640012111,1.8639326753570913,1.0174448196754329,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.0,0.0,,,,,,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,813.25,496.6389533655209,455.25,64.71153941402828,0.04630178000131875,0.014445151445437825,0.021277664040793925,0.01738124640012111,32.0,8.286535263104035,416.5,65.80020263393317,0.0,0.0,169.0,0.0,0.0,0.0
full,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.05559079801388378,0.05089821399105604,0.5588113817334511,0.19571239994584838,2.424927710592611,1.737637211816696,0.028146709859680673,0.01874457558204847,0.03229333900041667,0.021353188376030827,0.0388433008208156,0.01995155901759058,0.006168072759739181,0.002225507947184108,6.045363447634263,1.8969740174608372,2.0,1.4142135623730951,7.0,5.0990195135927845,0.05559079801388378,0.05089821399105604,0.021277664040793925,0.01738124640012111,2.424927710592611,1.737637211816696,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.040503239453586894,0.08100647890717379,0.025,0.05,0.05,0.1,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.1111111111111111,0.19245008972987526,1.0,,77.31333333333333,,0.0,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,813.25,496.6389533655209,455.25,64.71153941402828,0.04630178000131875,0.014445151445437825,0.021277664040793925,0.01738124640012111,32.0,8.286535263104035,416.5,65.80020263393317,19.0,0.0,221.0,0.0,0.0,0.0
no_entity_memory,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.04758218431688084,0.04481221770872517,0.5576639307211737,0.19577212971274602,2.0141293116766694,1.0151871895453384,0.028118095376635212,0.018785166628989172,0.0320990615443722,0.02163842299758776,0.03306407466429993,0.0206181661441054,0.006168072759739181,0.002225507947184108,4.986675912324013,1.6309338854738038,2.0,1.4142135623730951,7.0,5.0990195135927845,0.04758218431688084,0.04481221770872517,0.021277664040793925,0.01738124640012111,2.0141293116766694,1.0151871895453384,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.0,0.0,,,,,,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,813.25,496.6389533655209,455.25,64.71153941402828,0.04630178000131875,0.014445151445437825,0.021277664040793925,0.01738124640012111,32.0,8.286535263104035,416.5,65.80020263393317,15.0,0.0,221.0,0.0,0.0,0.0
no_monotoneD,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.048952100085652275,0.043547427908301184,0.5838558174792046,0.2226121668745739,2.1840074531432934,1.03186898583694,0.027137626226152324,0.01850462785647215,0.030404379730010405,0.019930308802639764,0.031712144486856796,0.01957142209181165,0.006168072759739181,0.002225507947184108,4.896499200063311,1.3230023452070876,2.0,1.4142135623730951,7.0,5.0990195135927845,0.048952100085652275,0.043547427908301184,0.021277664040793925,0.01738124640012111,2.1840074531432934,1.03186898583694,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.0,0.0,,,,,,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,813.25,496.6389533655209,455.25,64.71153941402828,0.04630178000131875,0.014445151445437825,0.021277664040793925,0.01738124640012111,32.0,8.286535263104035,416.5,65.80020263393317,0.0,0.0,221.0,0.0,0.0,0.0
no_regimesC,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.045261744869652454,0.04311901805446949,0.5671828533154378,0.19735206758703228,1.9810711351721353,0.8047668528033345,0.027446864023511437,0.01767143935058853,0.031223611099519023,0.02083372925459947,0.03248870035342659,0.01969676143852855,0.006168072759739181,0.002225507947184108,5.1944432698289065,1.9493574303846932,2.0,1.4142135623730951,7.0,5.0990195135927845,0.045261744869652454,0.04311901805446949,0.021277664040793925,0.01738124640012111,1.9810711351721353,0.8047668528033345,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.0,0.0,,,,,,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,813.25,496.6389533655209,455.25,64.71153941402828,0.04630178000131875,0.014445151445437825,0.021277664040793925,0.01738124640012111,32.0,8.286535263104035,416.5,65.80020263393317,19.0,0.0,200.0,0.0,0.0,0.0
no_riskB,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.044511375063357866,0.04853640901092274,0.5248163521206959,0.198088592393091,1.7183978152283081,0.8270834133603058,0.02673114616820102,0.017005836847165053,0.030904597982567495,0.019808851362740732,0.03109805467686021,0.02661743254917097,0.006168072759739181,0.002225507947184108,4.456769821340559,2.4546411276615943,2.0,1.4142135623730951,7.0,5.0990195135927845,0.044511375063357866,0.04853640901092274,0.021277664040793925,0.01738124640012111,1.7183978152283081,0.8270834133603058,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.0,0.0,,,,,,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,813.25,496.6389533655209,455.25,64.71153941402828,0.04630178000131875,0.014445151445437825,0.021277664040793925,0.01738124640012111,32.0,8.286535263104035,416.5,65.80020263393317,0.0,0.0,190.0,0.0,0.0,0.0
