model,n_mean,n_std,base_rate_mean,base_rate_std,auprc_mean,auprc_std,auroc_mean,auroc_std,auprc_lift_mean,auprc_lift_std,brier_mean,brier_std,ece_mean,ece_std,index_auprc_mean,index_auprc_std,index_base_rate_mean,index_base_rate_std,index_auprc_lift_mean,index_auprc_lift_std,n_index_positives_mean,n_index_positives_std,n_masked_propagated_mean,n_masked_propagated_std,cold_entity_auprc_mean,cold_entity_auprc_std,cold_base_rate_mean,cold_base_rate_std,cold_entity_auprc_lift_mean,cold_entity_auprc_lift_std,n_cold_rows_mean,n_cold_rows_std,cold_positive_count_mean,cold_positive_count_std,cold_row_share_mean,cold_row_share_std,dollar_recall_at_k_mean,dollar_recall_at_k_std,count_recall_at_k_mean,count_recall_at_k_std,alert_precision_at_k_mean,alert_precision_at_k_std,k_mean,k_std,n_reviewed_mean,n_reviewed_std,ttd_n_entities_mean,ttd_n_entities_std,ttd_detected_share_mean,ttd_detected_share_std,ttd_median_txn_mean,ttd_median_txn_std,ttd_median_hours_mean,ttd_median_hours_std,ttd_early_share_mean,ttd_early_share_std,fold_id_mean,fold_id_std,test_day_start_mean,test_day_start_std,test_day_end_mean,test_day_end_std,n_train_mean,n_train_std,n_test_mean,n_test_std,train_base_rate_mean,train_base_rate_std,test_base_rate_mean,test_base_rate_std,dropped_entity_rows_mean,dropped_entity_rows_std,label_maturity_dropped_mean,label_maturity_dropped_std,tuning_budget_mean,tuning_budget_std,n_features_mean,n_features_std,seed_mean,seed_std,n_monotone_mean,n_monotone_std
catboost,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.03160540338980084,0.027334362357758667,0.4887105321610266,0.05053954915371787,1.4030129305107195,0.3642104055205522,0.023027623151320245,0.016879296763445403,0.017344465046336528,0.007349677939764822,0.013526925887413022,0.0045964728673826465,0.006168072759739181,0.002225507947184108,2.2308175651327007,0.5378182467781657,2.0,1.4142135623730951,7.0,5.0990195135927845,0.03160540338980084,0.027334362357758667,0.021277664040793925,0.01738124640012111,1.4030129305107195,0.3642104055205522,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.0,0.0,,,,,,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,813.25,496.6389533655209,455.25,64.71153941402828,0.04630178000131875,0.014445151445437825,0.021277664040793925,0.01738124640012111,32.0,8.286535263104035,416.5,65.80020263393317,0.0,0.0,221.0,0.0,0.0,0.0,,
halo,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.05559079801388378,0.05089821399105604,0.5588113817334511,0.19571239994584838,2.424927710592611,1.737637211816696,0.028146709859680673,0.01874457558204847,0.03229333900041667,0.021353188376030827,0.0388433008208156,0.01995155901759058,0.006168072759739181,0.002225507947184108,6.045363447634263,1.8969740174608372,2.0,1.4142135623730951,7.0,5.0990195135927845,0.05559079801388378,0.05089821399105604,0.021277664040793925,0.01738124640012111,2.424927710592611,1.737637211816696,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.040503239453586894,0.08100647890717379,0.025,0.05,0.05,0.1,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.1111111111111111,0.19245008972987526,1.0,,77.31333333333333,,0.0,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,813.25,496.6389533655209,455.25,64.71153941402828,0.04630178000131875,0.014445151445437825,0.021277664040793925,0.01738124640012111,32.0,8.286535263104035,416.5,65.80020263393317,,,221.0,0.0,0.0,0.0,19.0,0.0
lightgbm,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.03320742121809119,0.026157375203566684,0.5227728881881281,0.15358176252712682,1.5641229146424078,0.6729457941170748,0.023888941835097273,0.015250607492060196,0.027901652521555385,0.02968921312255519,0.02542508525679969,0.019414279315754623,0.006168072759739181,0.002225507947184108,3.7916343677402478,1.5855887862863465,2.0,1.4142135623730951,7.0,5.0990195135927845,0.03320742121809119,0.026157375203566684,0.021277664040793925,0.01738124640012111,1.5641229146424078,0.6729457941170748,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.0,0.0,,,,,,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,813.25,496.6389533655209,455.25,64.71153941402828,0.04630178000131875,0.014445151445437825,0.021277664040793925,0.01738124640012111,32.0,8.286535263104035,416.5,65.80020263393317,0.0,0.0,221.0,0.0,0.0,0.0,,
logreg,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.041266576084839385,0.03475280769099179,0.5206541828237415,0.25024702424572526,3.537567764421274,5.05891506973272,0.12878136993660436,0.09430084562592594,0.18524220233101812,0.1279509617944296,0.052987425499130734,0.06977323594004795,0.006168072759739181,0.002225507947184108,12.107314638611003,17.950895131555793,2.0,1.4142135623730951,7.0,5.0990195135927845,0.041266576084839385,0.03475280769099179,0.021277664040793925,0.01738124640012111,3.537567764421274,5.05891506973272,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.08058629318239219,0.16117258636478438,0.0625,0.125,0.05,0.1,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.16666666666666666,0.2886751345948129,0.0,,0.0,,0.0,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,813.25,496.6389533655209,455.25,64.71153941402828,0.04630178000131875,0.014445151445437825,0.021277664040793925,0.01738124640012111,32.0,8.286535263104035,416.5,65.80020263393317,0.0,0.0,221.0,0.0,0.0,0.0,,
mlp,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.027639886804823162,0.024840569452838135,0.47840631803700406,0.12520616905694984,1.3883634713776463,0.7364471261262547,0.06775179470078971,0.03670482447628837,0.16213813854167802,0.12777544537985827,0.0063764353615602355,0.0019298334479336435,0.006168072759739181,0.002225507947184108,1.0527939389157288,0.10231192184104534,2.0,1.4142135623730951,7.0,5.0990195135927845,0.027639886804823162,0.024840569452838135,0.021277664040793925,0.01738124640012111,1.3883634713776463,0.7364471261262547,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.0,0.0,,,,,,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,813.25,496.6389533655209,455.25,64.71153941402828,0.04630178000131875,0.014445151445437825,0.021277664040793925,0.01738124640012111,32.0,8.286535263104035,416.5,65.80020263393317,0.0,0.0,221.0,0.0,0.0,0.0,,
xgboost,455.25,64.71153941402828,0.021277664040793925,0.01738124640012111,0.04132070653034299,0.04008611688347053,0.6010927273295259,0.13175090314640422,1.7595955686547808,0.5393055184048166,0.021887018689298078,0.016260284595010027,0.020420025268071226,0.013985591097992347,0.03547476398095654,0.03856718573761452,0.006168072759739181,0.002225507947184108,4.94190435014064,3.887837205593455,2.0,1.4142135623730951,7.0,5.0990195135927845,0.04132070653034299,0.04008611688347053,0.021277664040793925,0.01738124640012111,1.7595955686547808,0.5393055184048166,455.25,64.71153941402828,9.0,5.944184833375669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.5,0.5773502691896258,2.0,1.4142135623730951,0.0,0.0,,,,,,,1.5,1.2909944487358056,105.0,38.72983346207417,135.0,38.72983346207417,813.25,496.6389533655209,455.25,64.71153941402828,0.04630178000131875,0.014445151445437825,0.021277664040793925,0.01738124640012111,32.0,8.286535263104035,416.5,65.80020263393317,0.0,0.0,221.0,0.0,0.0,0.0,,
