removal,fraction_removed,n_removed,auprc
shap,0.0,0,0.11551943502177346
random,0.0,0,0.11551943502177346
shap,0.1,22,0.04838678007721775
random,0.1,22,0.10527566805837776
shap,0.2,44,0.04229597743169365
random,0.2,44,0.10041718020398636
shap,0.4,88,0.051837791046348614
random,0.4,88,0.07006451565315336
