delta_days,model,n_mean,n_std,base_rate_mean,base_rate_std,auprc_mean,auprc_std,auroc_mean,auroc_std,auprc_lift_mean,auprc_lift_std,brier_mean,brier_std,ece_mean,ece_std,index_auprc_mean,index_auprc_std,index_base_rate_mean,index_base_rate_std,index_auprc_lift_mean,index_auprc_lift_std,n_index_positives_mean,n_index_positives_std,n_masked_propagated_mean,n_masked_propagated_std,cold_entity_auprc_mean,cold_entity_auprc_std,cold_base_rate_mean,cold_base_rate_std,cold_entity_auprc_lift_mean,cold_entity_auprc_lift_std,n_cold_rows_mean,n_cold_rows_std,cold_positive_count_mean,cold_positive_count_std,cold_row_share_mean,cold_row_share_std,dollar_recall_at_k_mean,dollar_recall_at_k_std,count_recall_at_k_mean,count_recall_at_k_std,alert_precision_at_k_mean,alert_precision_at_k_std,k_mean,k_std,n_reviewed_mean,n_reviewed_std,ttd_n_entities_mean,ttd_n_entities_std,ttd_detected_share_mean,ttd_detected_share_std,ttd_median_txn_mean,ttd_median_txn_std,ttd_median_hours_mean,ttd_median_hours_std,ttd_early_share_mean,ttd_early_share_std,fold_id_mean,fold_id_std,test_day_start_mean,test_day_start_std,test_day_end_mean,test_day_end_std,n_train_mean,n_train_std,n_test_mean,n_test_std,train_base_rate_mean,train_base_rate_std,test_base_rate_mean,test_base_rate_std,dropped_entity_rows_mean,dropped_entity_rows_std,label_maturity_dropped_mean,label_maturity_dropped_std,tuning_budget_mean,tuning_budget_std,n_features_mean,n_features_std,seed_mean,seed_std,n_monotone_mean,n_monotone_std
0,halo,2258.0,1107.7282057335985,0.045345222302037025,0.006103805224209145,0.07194353531315131,0.01719546091771491,0.6272330749466422,0.06823067975883096,1.5974333109155205,0.37842379499248935,0.04539372828248182,0.006008746442660688,0.04554755546606946,0.006009321657924993,0.050949324339969904,0.0157735382608626,0.010920576101474566,0.0016261263989076325,4.642603032771931,1.1972445009889945,23.4,12.764534199622535,79.4,40.88792269389853,0.07194353531315131,0.01719546091771491,0.045345222302037025,0.006103805224209145,1.5974333109155205,0.37842379499248935,2258.0,1107.7282057335985,102.8,52.94609417973047,1.0,0.0,0.02296287169397222,0.0217289789300323,0.016452581551591454,0.013022295310321888,0.07592592592592592,0.06264499618461561,0.01,0.0,22.6,10.86482601998046,23.4,12.764534199622535,0.08457942121735225,0.047983481523097414,0.0,0.0,0.0,0.0,0.07142857142857142,0.12198750911856666,2.0,1.4907119849998598,120.0,44.721359549995796,144.4,37.319044884765084,8136.2,4452.426823904265,2258.0,1107.7282057335985,0.05158921417603933,0.005174579088272939,0.045345222302037025,0.006103805224209145,1230.4,412.1464680318286,0.0,0.0,,,221.0,0.0,0.5,0.5270462766947299,19.0,0.0
0,lightgbm,2258.0,1107.7282057335985,0.045345222302037025,0.006103805224209145,0.07837717606824553,0.026499438014727324,0.6358876285148479,0.0742243405363783,1.7449200205278033,0.5998469585813545,0.04492981404210719,0.00597141169678949,0.04186108302258081,0.005706203060433744,0.05938946374059074,0.017680967697944572,0.010920576101474566,0.0016261263989076325,5.362301996250158,0.9776562926239807,23.4,12.764534199622535,79.4,40.88792269389853,0.07837717606824553,0.026499438014727324,0.045345222302037025,0.006103805224209145,1.7449200205278033,0.5998469585813545,2258.0,1107.7282057335985,102.8,52.94609417973047,1.0,0.0,0.025407483388396844,0.02398093250055107,0.018154431273243156,0.01290795424338826,0.08293650793650793,0.061203519312977885,0.01,0.0,22.6,10.86482601998046,23.4,12.764534199622535,0.09832708798226039,0.047011149419397706,0.0,0.0,0.0,0.0,0.05625,0.10500850305706541,2.0,1.4907119849998598,120.0,44.721359549995796,144.4,37.319044884765084,8136.2,4452.426823904265,2258.0,1107.7282057335985,0.05158921417603933,0.005174579088272939,0.045345222302037025,0.006103805224209145,1230.4,412.1464680318286,0.0,0.0,0.0,0.0,221.0,0.0,0.5,0.5270462766947299,,
7,halo,2258.0,1107.7282057335985,0.045345222302037025,0.006103805224209145,0.11996072197082494,0.08686931630359514,0.656763450989468,0.09228785963631844,2.686878854950497,1.9757186470639805,0.04553199479833663,0.006174447539812233,0.04597324812854187,0.006332893420090543,0.040715326939556144,0.012288214386017834,0.010920576101474566,0.0016261263989076325,3.8518964929399218,1.3231748030160062,23.4,12.764534199622535,79.4,40.88792269389853,0.11996072197082494,0.08686931630359514,0.045345222302037025,0.006103805224209145,2.686878854950497,1.9757186470639805,2258.0,1107.7282057335985,102.8,52.94609417973047,1.0,0.0,0.06617581370399785,0.08009511888466468,0.057802788000807806,0.04567798724993603,0.2298941798941799,0.14454255421287476,0.01,0.0,22.6,10.86482601998046,23.4,12.764534199622535,0.11815958626303455,0.029360560087247394,0.25,0.4629100498862757,3.568611111111111,6.607783789876651,0.041666666666666664,0.1178511301977579,2.0,1.4907119849998598,120.0,44.721359549995796,144.4,37.319044884765084,7890.2,4336.1771899015175,2258.0,1107.7282057335985,0.051687373443903395,0.005424819910559691,0.045345222302037025,0.006103805224209145,837.2,285.764782839158,639.2,55.64330847260771,,,221.0,0.0,0.5,0.5270462766947299,19.0,0.0
7,lightgbm,2258.0,1107.7282057335985,0.045345222302037025,0.006103805224209145,0.12253069985483682,0.07807232199883488,0.680633356391596,0.09840329642672062,2.7522250939515183,1.785837000705335,0.043901498779333914,0.00603361360403952,0.034315575998531744,0.0074287445749811835,0.03440111578681857,0.013910517860206834,0.010920576101474566,0.0016261263989076325,3.2539302565430215,1.3903833659491438,23.4,12.764534199622535,79.4,40.88792269389853,0.12253069985483682,0.07807232199883488,0.045345222302037025,0.006103805224209145,2.7522250939515183,1.785837000705335,2258.0,1107.7282057335985,102.8,52.94609417973047,1.0,0.0,0.0630677432150164,0.08094650823379432,0.05451806763687952,0.04683501680206231,0.2191798941798942,0.15158836604313172,0.01,0.0,22.6,10.86482601998046,23.4,12.764534199622535,0.07994996701893253,0.03143702634147995,0.8125,0.8838834764831844,55.12305555555555,66.23148591222208,0.0,0.0,2.0,1.4907119849998598,120.0,44.721359549995796,144.4,37.319044884765084,7890.2,4336.1771899015175,2258.0,1107.7282057335985,0.051687373443903395,0.005424819910559691,0.045345222302037025,0.006103805224209145,837.2,285.764782839158,639.2,55.64330847260771,0.0,0.0,221.0,0.0,0.5,0.5270462766947299,,
30,halo,2258.0,1107.7282057335985,0.045345222302037025,0.006103805224209145,0.12275497256883668,0.07163399987069662,0.6853859319077883,0.05696567585295095,2.7436929676505906,1.632233873930902,0.045649730174883094,0.0062266801574588256,0.04602532820557027,0.006389248807931662,0.023574292523634972,0.008403771553245358,0.010920576101474566,0.0016261263989076325,2.207601349727114,0.8445707717206413,23.4,12.764534199622535,79.4,40.88792269389853,0.12275497256883668,0.07163399987069662,0.045345222302037025,0.006103805224209145,2.7436929676505906,1.632233873930902,2258.0,1107.7282057335985,102.8,52.94609417973047,1.0,0.0,0.06225222217813885,0.08254714460787274,0.04961921867862462,0.051251320038607766,0.19695767195767194,0.17311985730489066,0.01,0.0,22.6,10.86482601998046,23.4,12.764534199622535,0.05714776921673473,0.03260604324251971,1.5714285714285714,1.0177004891982149,145.08640873015875,119.85264441944545,0.0,0.0,2.0,1.4907119849998598,120.0,44.721359549995796,144.4,37.319044884765084,6470.8,4051.3583126869657,2258.0,1107.7282057335985,0.052276302895046714,0.00544478326796204,0.045345222302037025,0.006103805224209145,195.0,69.3942040487212,2700.8,179.14289764815626,,,221.0,0.0,0.5,0.5270462766947299,19.0,0.0
30,lightgbm,2258.0,1107.7282057335985,0.045345222302037025,0.006103805224209145,0.10418745207852491,0.041771506029211196,0.6822370492360619,0.06477834042854493,2.3259790342476636,0.96085816763672,0.04351907608402043,0.005882075095254725,0.029282131437009,0.005024288516616749,0.018532861102464528,0.0037046112349977444,0.010920576101474566,0.0016261263989076325,1.7119427902923197,0.334900464439103,23.4,12.764534199622535,79.4,40.88792269389853,0.10418745207852491,0.041771506029211196,0.045345222302037025,0.006103805224209145,2.3259790342476636,0.96085816763672,2258.0,1107.7282057335985,102.8,52.94609417973047,1.0,0.0,0.04512111362327136,0.06146330075626168,0.040294753413565296,0.039040209030955515,0.1685185185185185,0.136431181680757,0.01,0.0,22.6,10.86482601998046,23.4,12.764534199622535,0.07969418831487797,0.046249431597249466,1.5625,1.0155048005794949,131.87706597222223,122.10487864706671,0.0,0.0,2.0,1.4907119849998598,120.0,44.721359549995796,144.4,37.319044884765084,6470.8,4051.3583126869657,2258.0,1107.7282057335985,0.052276302895046714,0.00544478326796204,0.045345222302037025,0.006103805224209145,195.0,69.3942040487212,2700.8,179.14289764815626,0.0,0.0,221.0,0.0,0.5,0.5270462766947299,,
60,halo,2144.75,1226.5243285689153,0.04450889785172555,0.006626035234352808,0.11021645560342902,0.05852584632336658,0.6795019552320887,0.07648739629795576,2.517022460383145,1.3330606916558903,0.04458729066616803,0.007665721742016012,0.045315810178289645,0.008151726387443865,0.017076439803021915,0.0022854583408505767,0.010097620978961752,0.0006716972902265113,1.6953760870962682,0.22340174419953052,20.5,12.70545439677666,75.0,45.153705748887795,0.11021645560342902,0.05852584632336658,0.04450889785172555,0.006626035234352808,2.517022460383145,1.3330606916558903,2144.75,1226.5243285689153,95.5,57.443139587894095,1.0,0.0,0.04276350753214239,0.07085352266673337,0.035154142827410154,0.045729647783436474,0.13392857142857142,0.15713126116769893,0.01,0.0,21.5,12.03566129704317,20.5,12.70545439677666,0.06182663653928022,0.03988293846430198,0.5,0.8366600265340756,61.60342592592593,140.5675061078654,0.16666666666666666,0.408248290463863,1.5,1.1952286093343936,135.0,35.85685828003181,158.0,27.08716090169447,5273.5,3151.424213181807,2144.75,1226.5243285689153,0.05122291525484261,0.003313465945337906,0.04450889785172555,0.006626035234352808,19.5,12.24744871391589,5455.75,239.57268506357624,,,221.0,0.0,0.5,0.5345224838248488,19.0,0.0
60,lightgbm,2144.75,1226.5243285689153,0.04450889785172555,0.006626035234352808,0.10715690205162268,0.05842106558882142,0.6745966645575588,0.05696201076566603,2.445922303910229,1.3344997650648387,0.042556514407404177,0.006434645362187887,0.027679887259710094,0.0030764684155146866,0.018681511539222703,0.0017628349538305217,0.010097620978961752,0.0006716972902265113,1.8558652237225075,0.19923577305411763,20.5,12.70545439677666,75.0,45.153705748887795,0.10715690205162268,0.05842106558882142,0.04450889785172555,0.006626035234352808,2.445922303910229,1.3344997650648387,2144.75,1226.5243285689153,95.5,57.443139587894095,1.0,0.0,0.04228841778909072,0.07113039704809229,0.040614739562759364,0.04447943169493935,0.1607142857142857,0.15031550880261466,0.01,0.0,21.5,12.03566129704317,20.5,12.70545439677666,0.055653797033107376,0.02230282774902371,1.0,0.9486832980505138,56.04479166666667,92.01846646843107,0.0,0.0,1.5,1.1952286093343936,135.0,35.85685828003181,158.0,27.08716090169447,5273.5,3151.424213181807,2144.75,1226.5243285689153,0.05122291525484261,0.003313465945337906,0.04450889785172555,0.006626035234352808,19.5,12.24744871391589,5455.75,239.57268506357624,0.0,0.0,221.0,0.0,0.5,0.5345224838248488,,
120,halo,1485.5,1532.8649646984563,0.040104262758350696,0.004849204990583666,0.0727129901290585,0.011510357466509316,0.6132230491721571,0.07174281671651965,1.8139076980695505,0.1770019473991159,0.04188363448080377,0.004264384836802252,0.043267715680039176,0.004546522298647202,0.01056900498486377,0.0001628392871728021,0.009495982468955442,0.0,1.1129975249444999,0.01714822954919723,13.0,15.01110699893027,41.0,39.25981830489455,0.0727129901290585,0.011510357466509316,0.040104262758350696,0.004849204990583666,1.8139076980695505,0.1770019473991159,1485.5,1532.8649646984563,54.0,54.270925303824825,1.0,0.0,0.0076416137546545535,0.013721937794246202,0.007425742574257425,0.00947947631441919,0.026785714285714284,0.03419382527701207,0.01,0.0,15.0,15.01110699893027,13.0,15.01110699893027,0.038461538461538464,0.0,-1.0,0.0,-104.08583333333333,0.0,1.0,0.0,0.5,0.5773502691896257,165.0,17.320508075688775,181.0,1.1547005383792515,2652.0,1369.4748385177923,1485.5,1532.8649646984563,0.052248392786431654,0.003468714253971756,0.040104262758350696,0.004849204990583666,0.0,0.0,10911.5,254.61146871262497,,,221.0,0.0,0.5,0.5773502691896257,19.0,0.0
120,lightgbm,1485.5,1532.8649646984563,0.040104262758350696,0.004849204990583666,0.07127634349351598,0.015257032504307745,0.6286247605837015,0.0522802662020201,1.772429644337338,0.2512319064321089,0.03942244828045331,0.004529747801140749,0.02373502637106674,0.006540787193674801,0.010289324799010903,0.00022783316696011133,0.009495982468955442,0.0,1.0835450499881483,0.023992585043722325,13.0,15.01110699893027,41.0,39.25981830489455,0.07127634349351598,0.015257032504307745,0.040104262758350696,0.004849204990583666,1.772429644337338,0.2512319064321089,1485.5,1532.8649646984563,54.0,54.270925303824825,1.0,0.0,0.004359645523085959,0.008719291046171916,0.0049504950495049506,0.009900990099009903,0.017857142857142856,0.03571428571428571,0.01,0.0,15.0,15.01110699893027,13.0,15.01110699893027,0.038461538461538464,0.0,-1.0,0.0,-104.08583333333333,0.0,1.0,0.0,0.5,0.5773502691896257,165.0,17.320508075688775,181.0,1.1547005383792515,2652.0,1369.4748385177923,1485.5,1532.8649646984563,0.052248392786431654,0.003468714253971756,0.040104262758350696,0.004849204990583666,0.0,0.0,10911.5,254.61146871262497,0.0,0.0,221.0,0.0,0.5,0.5773502691896257,,
