model,dollar_recall_at_k,alert_precision_at_k,count_recall_at_k,auprc,fit_score_seconds,microseconds_per_txn
logreg,0.027425351974101248,0.18518518518518517,0.03787878787878788,0.09080023100476295,0.82,207.4
mlp,0.006661257017195502,0.07407407407407407,0.015151515151515152,0.04742177549298832,1.01,255.0
lightgbm,0.021982631983811955,0.07407407407407407,0.015151515151515152,0.07653123129583624,1.02,258.3
xgboost,0.014582712521458345,0.07407407407407407,0.015151515151515152,0.08718751134671927,2.6,655.6
catboost,0.018287145583989403,0.1111111111111111,0.022727272727272728,0.06711436361314821,11.46,2893.8
halo,0.014582712521458345,0.07407407407407407,0.015151515151515152,0.07630273469789989,1.25,315.9
