n,base_rate,auprc,auroc,auprc_lift,brier,ece,index_auprc,index_base_rate,index_auprc_lift,n_index_positives,n_masked_propagated,cold_entity_auprc,cold_base_rate,cold_entity_auprc_lift,n_cold_rows,cold_positive_count,cold_row_share,dollar_recall_at_k,count_recall_at_k,alert_precision_at_k,k,n_reviewed,ttd_n_entities,ttd_detected_share,ttd_median_txn,ttd_median_hours,ttd_early_share,fold_id,test_day_start,test_day_end,n_train,n_test,train_base_rate,test_base_rate,dropped_entity_rows,label_maturity_dropped,model,n_monotone,n_features,seed,ablation
2711,0.04869052010328292,0.07919149068873507,0.6285675678851328,1.6264252367966727,0.05021422942003616,0.05171873690572232,0.017640221537287958,0.013389441469013007,1.317472545670592,35,97,0.07919149068873507,0.04869052010328292,1.6264252367966727,2711,132,1.0,0.011947700022436513,0.015151515151515152,0.07407407407407407,0.01,27,35,0.05714285714285714,1.5,150.94416666666666,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,halo,0,221,1,no_monotoneD
2770,0.053429602888086646,0.10147556317429413,0.6275176778609272,1.8992385810323966,0.05318862181728778,0.05349280681442933,0.035557918566940856,0.01093926820067899,3.2504842110675933,29,119,0.10147556317429413,0.053429602888086646,1.8992385810323966,2770,148,1.0,0.03925527905901144,0.0472972972972973,0.25,0.01,28,29,0.13793103448275862,0.5,90.26763888888888,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,halo,0,221,1,no_monotoneD
2838,0.04439746300211417,0.10672515709332955,0.6812666807135834,2.4038571097688037,0.044067418916136344,0.04376178799310212,0.015666269829211127,0.009857612267250822,1.5892560393410842,27,99,0.10672515709332955,0.04439746300211417,2.4038571097688037,2838,126,1.0,0.06134637173222905,0.05555555555555555,0.25,0.01,28,27,0.14814814814814814,1.0,18.066111111111113,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,halo,0,221,1,no_monotoneD
2813,0.03590472804834696,0.09922741292761748,0.7453963316685651,2.763630817479089,0.03579290014141988,0.035785284139119335,0.0177346117628797,0.009495982468955442,1.8675910387217163,26,75,0.09922741292761748,0.03590472804834696,2.763630817479089,2813,101,1.0,0.0459340744533417,0.04950495049504951,0.17857142857142858,0.01,28,26,0.07692307692307693,1.5,62.715555555555554,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,halo,0,221,1,no_monotoneD
158,0.04430379746835443,0.25469221152955035,0.793755912961211,5.748767060238422,0.04430379746835443,0.04430379746835443,,,,0,7,0.25469221152955035,0.04430379746835443,5.748767060238422,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,halo,0,221,1,no_monotoneD
2711,0.04869052010328292,0.08091446960691948,0.6150904155944869,1.6618115689724144,0.05036658901952295,0.05150127606080175,0.02037719628974974,0.013389441469013007,1.5218854600401661,35,97,0.08091446960691948,0.04869052010328292,1.6618115689724144,2711,132,1.0,0.03488613760499332,0.030303030303030304,0.14814814814814814,0.01,27,35,0.05714285714285714,1.5,150.94416666666666,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,halo,0,169,0,behaviour_only
2770,0.053429602888086646,0.09089639303225291,0.5984187849176407,1.7012365452658147,0.05333916277141817,0.053410780747693246,0.026321096198543104,0.01093926820067899,2.4061112421495783,29,119,0.09089639303225291,0.053429602888086646,1.7012365452658147,2770,148,1.0,0.012772276353468085,0.033783783783783786,0.17857142857142858,0.01,28,29,0.13793103448275862,1.0,96.87263888888889,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,halo,0,169,0,behaviour_only
2838,0.04439746300211417,0.10182853002244274,0.698605843517348,2.29356641431502,0.04447056824573044,0.04457447833436023,0.017352091025736448,0.009857612267250822,1.760273234055264,27,99,0.10182853002244274,0.04439746300211417,2.29356641431502,2838,126,1.0,0.056164644144664246,0.05555555555555555,0.25,0.01,28,27,0.1111111111111111,1.0,12.874166666666667,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,halo,0,169,0,behaviour_only
2813,0.03590472804834696,0.07455539217516685,0.6999036186804521,2.07647839790836,0.03592629464801025,0.03608006414025671,0.015034535418452588,0.009495982468955442,1.5832522298355072,26,75,0.07455539217516685,0.03590472804834696,2.07647839790836,2813,101,1.0,0.018657531277412043,0.0297029702970297,0.10714285714285714,0.01,28,26,0.07692307692307693,2.0,153.19444444444443,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,halo,0,169,0,behaviour_only
158,0.04430379746835443,0.18259302684758774,0.7965941343424787,4.121385463131266,0.04430379746835443,0.04430379746835443,,,,0,7,0.18259302684758774,0.04430379746835443,4.121385463131266,158,7,1.0,0.21617481016321674,0.14285714285714285,0.5,0.01,2,0,,,,,4,180,182,12089,158,0.04905285797005542,0.04430379746835443,68,2813,halo,0,169,0,behaviour_only
2711,0.04869052010328292,0.0769720506379106,0.621229746084341,1.5808426460558762,0.05145941043111414,0.05269185239805255,0.01737581157166522,0.013389441469013007,1.2977248985237966,35,97,0.0769720506379106,0.04869052010328292,1.5808426460558762,2711,132,1.0,0.011947700022436513,0.015151515151515152,0.07407407407407407,0.01,27,35,0.05714285714285714,1.5,150.94416666666666,0.0,0,60,90,1249,2711,0.06244995996797438,0.04869052010328292,217,2372,halo,0,169,1,behaviour_only
2770,0.053429602888086646,0.09987186094191047,0.6249716535757726,1.8692233433046757,0.053406171504288856,0.0536667732858456,0.027789622929133128,0.01093926820067899,2.540354840866618,29,119,0.09987186094191047,0.053429602888086646,1.8692233433046757,2770,148,1.0,0.053570885360046505,0.033783783783783786,0.17857142857142858,0.01,28,29,0.13793103448275862,0.5,22.14375,0.0,1,90,120,3597,2770,0.050319710870169586,0.053429602888086646,241,2711,halo,0,169,1,behaviour_only
2838,0.04439746300211417,0.10499491512498907,0.6883984173807183,2.3648854692438013,0.04439779585908783,0.044382253897304914,0.023796171998383506,0.009857612267250822,2.41398944828046,27,99,0.10499491512498907,0.04439746300211417,2.3648854692438013,2838,126,1.0,0.07786091868284299,0.03968253968253968,0.17857142857142858,0.01,28,27,0.1111111111111111,1.0,315.9241666666667,0.0,2,120,150,6349,2838,0.04851157662624035,0.04439746300211417,200,2770,halo,0,169,1,behaviour_only
2813,0.03590472804834696,0.0829247556295429,0.7040180787990303,2.3095775998604373,0.035799681632835416,0.03602914404279218,0.021063174626169103,0.009495982468955442,2.218114312555808,26,75,0.0829247556295429,0.03590472804834696,2.3095775998604373,2813,101,1.0,0.034442288238547974,0.039603960396039604,0.14285714285714285,0.01,28,26,0.11538461538461539,1.0,0.3011111111111111,0.0,3,150,180,9070,2813,0.05104740904079383,0.03590472804834696,249,2838,halo,0,169,1,behaviour_only
